"ACCOUNTNUMBER","CUSTOMERID","LOCATIONID","ACTIVECODE","STATUSCODE","ADDRESSSEQ","PENALTYCODE","TAXCODE","TAXTYPE","ARCODE","BANKCODE","OPENDATE","TERMINATEDDATE","DWELLINGUNITS","STOPSHUTOFF","STOPPENALTY","DUEDATE","SICCODE","BUNCHCODE","SHUTOFFDATE","PIN","DEFERREDDUEDATE","LASTNOTICECODE","LASTNOTICEDATE","CASHONLY","NEMLASTTRUEUPDATE","NEMNEXTTRUEUPDATE","ENGINEERNUM","SERVICEADDRESS3","UPDATEDATE"
"210812979","189234.0","7000063400",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210792313","189236.0","7000067132",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210802617","189237.0","7000067491",0,0,1,55,0,1,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210842142","189238","5000098552",2,0,1,53,0,0,8,8,"2015-09-04","2023-07-21",1,0,0,"2023-08-28","","","","","",0,"","","","","","","2025-05-09"
"210844255","189241.0","7000065866",0,0,1,53,0,0,8,8,"2015-09-15","",1,0,0,"2025-02-11","","","","","",0,"","","","","","","2025-05-09"
"210813193","189242.0","7000063418",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210802683","189243.0","7000067497",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210792519","189244","5000102725",2,0,1,53,0,0,8,8,"2015-09-16","2021-11-10",1,0,0,"2021-12-06","","","","","",0,"","","","","","","2025-05-09"
"210842199","189245.0","7000065127",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210810222","189246.0","7000062377",0,0,1,55,0,1,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210832490","189250.0","7000064750",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210842249","189253.0","7000065133",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210810298","189254.0","7000062384",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210829314","189257.0","7000064504",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210791886","189258","5000091968",2,0,1,55,0,1,8,8,"2015-09-05","2022-12-17",1,0,0,"2023-02-20","","","","","",0,"","","","","","","2025-05-09"
"210827863","189261.0","7000064426",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210853834","189265.0","7000066267",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210810438","189266.0","7000062398",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210828118","189267","5000096135",2,0,1,53,0,0,8,8,"2015-09-18","2024-08-27",1,0,0,"2024-09-30","","","","","",0,"","","","","","","2025-05-09"
"210802823","189269.0","7000067509",0,0,1,53,0,0,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210844370","189270","5000100211",2,0,1,53,0,0,8,8,"2015-09-05","2024-06-19",1,0,0,"2024-07-15","","","","","",0,"","","","","","","2025-05-09"
"210818862","189271.0","7000063838",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210792660","189272.0","7000067162",0,0,1,55,0,1,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210842738","189274.0","7000065181",0,0,1,55,0,1,8,8,"2017-11-15","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210828184","189275.0","7000063920",0,0,1,55,0,1,8,8,"2015-09-09","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210802889","189277.0","7000067515",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210810569","189278.0","7000062412",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210844437","189279.0","7000065884",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210818797","189281.0","7000063832",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210828249","189282.0","7000063926",0,0,1,55,0,1,8,8,"2015-09-09","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210792735","189285","5000102761",2,0,1,53,0,0,8,8,"2015-09-04","2025-01-13",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210810709","189286.0","7000062426",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210792371","189287.0","7000061652",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210802964","189288.0","7000067521",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210853892","189289.0","7000066273",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210844495","189290","5000100247",2,0,1,53,0,0,8,8,"2015-09-18","2023-02-27",1,0,0,"2023-04-04","","","","","",0,"","","","","","","2025-05-09"
"210842853","189293","5000098696",2,0,1,55,0,1,8,8,"2015-09-09","2022-12-21",1,0,0,"2023-01-16","","","","","",0,"","","","","","","2025-05-09"
"210814099","189294","5000095586",2,0,1,55,0,1,8,8,"2015-09-18","2023-08-18",1,0,0,"2023-09-25","","","","","",0,"","","","","","","2025-05-09"
"210974606","189295.0","7000066724",0,0,1,55,0,1,8,8,"2017-01-19","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210810785","189296.0","7000062433",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210803037","189297","5000093526",2,0,1,55,0,1,8,8,"2015-09-03","2016-10-09",1,0,0,"2021-08-06","","","","","",0,"","","","","","","2025-05-09"
"210792446","189298","5000092052",2,0,1,53,0,0,8,8,"2015-09-04","2022-07-08",1,0,0,"2022-08-09","","","","","",0,"","","","","","","2025-05-09"
"210853949","189299.0","7000066279",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210791323","189300.0","7000061575",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210844552","189301.0","7000065902",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210828324","189302.0","7000063932",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210842910","189303","5000098708",2,0,1,55,0,1,8,8,"2015-09-09","2020-12-31",1,0,0,"2022-05-09","","","","","",0,"","","","","","","2025-05-09"
"210814175","189304.0","7000063496",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210792876","189305.0","7000067180",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210797876","189306.0","7000067125",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210854014","189307.0","7000066285",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210844609","189309.0","7000065914",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210790531","189310.0","7000061491",0,0,1,55,0,1,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210832614","189311.0","7000064768",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210842978","189313","5000098720",2,0,1,55,0,1,8,8,"2017-02-09","2022-12-24",1,0,0,"2023-04-18","","","","","",0,"","","","","","","2025-05-09"
"210814240","189314.0","7000063502",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210803102","189315.0","7000067533",0,0,1,53,0,0,8,8,"2015-09-15","",1,0,0,"2025-02-11","","","","","",0,"","","","","","","2025-05-09"
"210854072","189316.0","7000066291",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210793048","189317.0","7000067192",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210792587","189318","5000092080",2,0,1,53,0,0,8,8,"2015-09-05","2024-06-04",1,0,0,"2024-07-01","","","","","",0,"","","","","","","2025-05-09"
"210828530","189320.0","7000063950",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210811064","189321.0","7000062454",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210832317","189322","5000098027",2,0,1,53,0,0,8,8,"2015-09-05","2023-06-07",1,0,0,"2023-07-03","","","","","",0,"","","","","","","2025-05-09"
"210843033","189323.0","7000065211",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210803178","189324.0","7000067539",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210854129","189325","5000100880",2,0,1,55,0,1,8,8,"2015-09-22","2022-06-16",1,0,0,"2022-07-12","","","","","",0,"","","","","","","2025-05-09"
"210814315","189326","5000095622",2,0,1,53,0,0,8,8,"2015-09-05","2022-12-16",1,0,0,"2023-01-13","","","","","",0,"","","","","","","2025-05-09"
"210792652","189328.0","7000061680",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210845029","189329.0","7000065956",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210828605","189330.0","7000063956",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210832911","189331.0","7000064798",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210843091","189332.0","7000065217",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210811155","189334.0","7000062461",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210814381","189335","5000095634",2,0,1,53,0,0,8,8,"2015-09-04","2021-10-29",1,0,0,"2021-12-03","","","","","",0,"","","","","","","2025-05-09"
"210854197","189336.0","7000066303",0,0,1,55,0,1,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210792868","189337","5000092122",2,0,1,53,0,0,8,8,"2015-09-15","2024-10-31",1,0,0,"2024-12-02","","","","","",0,"","","","","","","2025-05-09"
"210845097","189338.0","7000065962",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-24","","","","","",0,"","","","","","","2025-05-09"
"210828671","189339.0","7000063962",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210793179","189340.0","7000067204",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-24","","","","","",0,"","","","","","","2025-05-09"
"210803524","189341.0","7000067563",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210805562","189342","5000094152",2,0,1,55,0,1,8,8,"2015-09-15","2021-11-01",1,0,0,"2021-11-29","","","","","",0,"","","","","","","2025-05-09"
"210843158","189343","5000098756",2,0,1,53,0,0,8,8,"2015-09-12","2022-03-21",1,0,0,"2022-04-18","","","","","",0,"","","","","","","2025-05-09"
"210811296","189344.0","7000062475",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210814521","189345.0","7000063526",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210811866","189346.0","7000063304",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210845154","189347","5000100391",2,0,1,53,0,0,8,8,"2015-09-23","2021-03-30",1,0,0,"2021-04-26","","","","","",0,"","","","","","","2025-05-09"
"210828746","189349.0","7000063968",0,0,1,53,0,0,8,8,"2015-09-11","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210803665","189351.0","7000067575",0,0,1,53,0,0,8,8,"2015-09-15","",1,0,0,"2025-02-11","","","","","",0,"","","","","","","2025-05-09"
"210814597","189356.0","7000063532",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210793022","189358","5000092150",2,0,1,53,0,0,8,8,"2015-09-05","2021-08-18",1,0,0,"2021-09-13","","","","","",0,"","","","","","","2025-05-09"
"210803946","189360.0","7000067593",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210793395","189361.0","7000067216",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210811369","189362","5000095118",2,0,1,53,0,0,8,8,"2015-09-12","2024-08-30",1,0,0,"2024-09-30","","","","","",0,"","","","","","","2025-05-09"
"210854254","189365","5000100928",2,0,1,53,0,0,8,8,"2015-09-17","2021-10-22",1,0,0,"2021-11-19","","","","","",0,"","","","","","","2025-05-09"
"210814662","189366.0","7000063538",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210793098","189367","5000092164",2,0,1,55,0,1,8,8,"2015-09-15","2022-02-16",1,0,0,"2022-03-16","","","","","",0,"","","","","","","2025-05-09"
"210828887","189368","5000096267",2,0,1,53,0,0,8,8,"2015-09-16","2023-07-31",1,0,0,"2023-08-28","","","","","",0,"","","","","","","2025-05-09"
"210845336","189369","5000100415",2,0,1,53,0,0,8,8,"2015-09-09","2021-01-15",1,0,0,"2021-02-09","","","","","",0,"","","","","","","2025-05-09"
"210804009","189370.0","7000067599",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210832854","189371.0","7000064792",0,0,1,53,0,0,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210843330","189372.0","7000065241",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210796547","189373.0","7000067456",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210854311","189374.0","7000066327",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210814737","189375.0","7000063544",0,0,1,53,0,0,8,8,"2015-09-17","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210828952","189376","5000096279",2,0,1,53,0,0,8,8,"2015-09-16","2023-07-31",1,0,0,"2023-08-28","","","","","",0,"","","","","","","2025-05-09"
"210793163","189377.0","7000061722",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210845394","189378.0","7000065986",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210793460","189380.0","7000067222",0,0,1,53,0,0,8,8,"2015-09-03","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210832797","189381.0","7000064786",0,0,1,53,0,0,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210843398","189382.0","7000065247",0,0,1,53,0,0,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210811717","189383.0","7000062510",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210814802","189384.0","7000063550",0,0,1,55,0,1,8,8,"2015-09-17","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210829025","189385","5000096291",2,0,1,53,0,0,8,8,"2015-09-16","2023-07-31",1,0,0,"2023-08-28","","","","","",0,"","","","","","","2025-05-09"
"210854369","189386.0","7000066333",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210793238","189387","5000092192",2,0,1,53,0,0,8,8,"2015-09-05","2024-02-26",1,0,0,"2024-03-25","","","","","",0,"","","","","","","2025-05-09"
"210845451","189389","5000100439",2,0,1,53,0,0,8,8,"2015-09-23","2021-03-30",1,0,0,"2021-04-26","","","","","",0,"","","","","","","2025-05-09"
"210793535","189390.0","7000067228",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210833216","189391","5000098219",2,0,1,53,0,0,8,8,"2015-09-22","2022-03-23",1,0,0,"2022-04-18","","","","","",0,"","","","","","","2025-05-09"
"210811783","189392.0","7000062517",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210812632","189393.0","7000063370",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210843455","189394.0","7000065253",0,0,1,53,0,0,8,8,"2015-09-04","",1,0,0,"2025-03-03","","","","","",0,"","","","","","","2025-05-09"
"210829091","189396","5000096303",2,0,1,53,0,0,8,8,"2015-09-16","2022-11-29",1,0,0,"2022-12-27","","","","","",0,"","","","","","","2025-05-09"
"210804225","189397.0","7000067617",0,0,1,55,0,1,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210793303","189398","5000092206",2,0,1,53,0,0,8,8,"2015-09-05","2024-04-15",1,0,0,"2024-05-13","","","","","",0,"","","","","","","2025-05-09"
"210845518","189399","5000100451",2,0,1,53,0,0,8,8,"2015-09-23","2021-03-30",1,0,0,"2021-04-26","","","","","",0,"","","","","","","2025-05-09"
"210793600","189400","5000102893",2,0,1,53,0,0,8,8,"2015-09-16","2021-03-31",1,0,0,"2021-05-03","","","","","",0,"","","","","","","2025-05-09"
"210833274","189402.0","7000064834",0,0,1,55,0,1,8,8,"2015-09-15","",1,0,0,"2025-02-11","","","","","",0,"","","","","","","2025-05-09"
"210811436","189404","5000093386",2,0,1,55,0,1,8,8,"2015-09-22","2022-09-12",1,0,0,"2022-10-10","","","","","",0,"","","","","","","2025-05-09"
"210793369","189406.0","7000061743",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210804366","189407.0","7000067629",0,0,1,53,0,0,8,8,"2015-09-22","",1,0,0,"2025-02-18","","","","","",0,"","","","","","","2025-05-09"
"210829166","189409.0","7000064004",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210793767","189411.0","7000067246",0,0,1,55,0,1,8,8,"2015-09-09","",1,0,0,"2025-03-10","","","","","",0,"","","","","","","2025-05-09"
"210812062","189412.0","7000062538",0,0,1,55,0,1,8,8,"2015-09-18","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210845633","189413.0","7000066010",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-21","","","","","",0,"","","","","","","2025-05-09"
"210854551","189414.0","7000066351",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
"210815157","189415.0","7000063580",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210804027","189416.0","7000062569",0,0,1,53,0,0,8,8,"2015-09-23","",1,0,0,"2025-02-24","","","","","",0,"","","","","","","2025-05-09"
"210843570","189417.0","7000065265",0,0,1,53,0,0,8,8,"2015-09-16","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210793509","189419.0","7000061757",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210804431","189420.0","7000067635",0,0,1,53,0,0,8,8,"2015-09-17","",1,0,0,"2025-02-17","","","","","",0,"","","","","","","2025-05-09"
"210793832","189421.0","7000067252",0,0,1,55,0,1,8,8,"2015-09-12","",1,0,0,"2025-02-10","","","","","",0,"","","","","","","2025-05-09"
"210845691","189422.0","7000066016",0,0,1,55,0,1,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210829231","189424","5000096327",2,0,1,53,0,0,8,8,"2015-09-04","2021-03-31",1,0,0,"2021-05-03","","","","","",0,"","","","","","","2025-05-09"
"210813820","189426.0","7000063466",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-07","","","","","",0,"","","","","","","2025-05-09"
"210843637","189428.0","7000065271",0,0,1,53,0,0,8,8,"2015-09-05","",1,0,0,"2025-03-04","","","","","",0,"","","","","","","2025-05-09"
